Epoch:0,Train_loss:0.6992292106151581,Train_acc:0.534375,Dis:0.9711418151855469
Epoch:1,Train_loss:0.6484650174776713,Train_acc:0.565625,Dis:0.6997634768486023
Epoch:2,Train_loss:0.6075650552908579,Train_acc:0.57,Dis:0.5503092408180237
Epoch:3,Train_loss:0.5720747858285904,Train_acc:0.64875,Dis:0.5445523858070374
Epoch:4,Train_loss:0.5206286211808523,Train_acc:0.663125,Dis:0.615975022315979
Epoch:5,Train_loss:0.4635058045387268,Train_acc:0.82,Dis:0.6966702938079834
Epoch:6,Train_loss:0.40749555826187134,Train_acc:0.83375,Dis:0.7366359829902649
Epoch:7,Train_loss:0.34294146796067554,Train_acc:0.89,Dis:0.7818349599838257
Epoch:8,Train_loss:0.29584189752737683,Train_acc:0.89625,Dis:0.7572207450866699
Epoch:9,Train_loss:0.24363967031240463,Train_acc:0.904375,Dis:0.6817669868469238
Epoch:10,Train_loss:0.21171440184116364,Train_acc:0.911875,Dis:0.5977396368980408
Epoch:11,Train_loss:0.1809706836938858,Train_acc:0.941875,Dis:0.4808977544307709
Epoch:12,Train_loss:0.16354115679860115,Train_acc:0.93875,Dis:0.40539446473121643
Epoch:13,Train_loss:0.15056195855140686,Train_acc:0.95,Dis:0.3725646138191223
Epoch:14,Train_loss:0.13930940503875414,Train_acc:0.96,Dis:0.31144610047340393
Epoch:15,Train_loss:0.12181637436151505,Train_acc:0.9625,Dis:0.3010902404785156
Epoch:16,Train_loss:0.11918749536077182,Train_acc:0.969375,Dis:0.30094635486602783
Epoch:17,Train_loss:0.10475894312063853,Train_acc:0.965,Dis:0.2605559825897217
Epoch:18,Train_loss:0.10254405438899994,Train_acc:0.97375,Dis:0.2191573530435562
Epoch:19,Train_loss:0.09660256405671437,Train_acc:0.97375,Dis:0.17158928513526917
Epoch:20,Train_loss:0.09612568033238252,Train_acc:0.98125,Dis:0.15286819636821747
Epoch:21,Train_loss:0.08392039562265079,Train_acc:0.98375,Dis:0.13150672614574432
Epoch:22,Train_loss:0.07827246313293774,Train_acc:0.986875,Dis:0.11706235259771347
Epoch:23,Train_loss:0.07223965600132942,Train_acc:0.989375,Dis:0.10872133821249008
Epoch:24,Train_loss:0.06691020416716735,Train_acc:0.98625,Dis:0.1063867136836052
Epoch:25,Train_loss:0.07014621670047443,Train_acc:0.990625,Dis:0.10659753531217575
Epoch:26,Train_loss:0.06313531411190827,Train_acc:0.990625,Dis:0.1066388338804245
Epoch:27,Train_loss:0.06254622464378674,Train_acc:0.990625,Dis:0.09180071949958801
Epoch:28,Train_loss:0.06195578724145889,Train_acc:0.990625,Dis:0.11405832320451736
Epoch:29,Train_loss:0.05537610035389662,Train_acc:0.991875,Dis:0.1119779422879219
Epoch:30,Train_loss:0.050810549718638263,Train_acc:0.990625,Dis:0.08858644962310791
Epoch:31,Train_loss:0.05149591900408268,Train_acc:0.989375,Dis:0.08023984730243683
Epoch:32,Train_loss:0.05024964362382889,Train_acc:0.99,Dis:0.062030941247940063
Epoch:33,Train_loss:0.04605878951648871,Train_acc:0.991875,Dis:0.05828113481402397
Epoch:34,Train_loss:0.04653694046040376,Train_acc:0.991875,Dis:0.048826731741428375
Epoch:35,Train_loss:0.04345293467243513,Train_acc:0.99625,Dis:0.0420626699924469
Epoch:36,Train_loss:0.04131465591490269,Train_acc:0.99625,Dis:0.04529508203268051
Epoch:37,Train_loss:0.039997571458419166,Train_acc:0.995,Dis:0.04093778133392334
Epoch:38,Train_loss:0.040890952261785664,Train_acc:0.991875,Dis:0.04033762216567993
Epoch:39,Train_loss:0.04034610899786154,Train_acc:0.994375,Dis:0.05009191483259201
Epoch:40,Train_loss:0.039227780575553574,Train_acc:0.993125,Dis:0.03852985054254532
Epoch:41,Train_loss:0.03534947925557693,Train_acc:0.994375,Dis:0.03830081596970558
best_acc:0.99625 average_time:9.554474382173447test_loss:0.0336794286655883, test_acc:0.995
