epoch:0 train_loss:0.3427461683941175 valid_loss:17.578916549682617 dis:74.4937515258789
epoch:100 train_loss:0.2912914837612152 valid_loss:17.57379722595215 dis:1.207507610321045
epoch:200 train_loss:0.25484780549845926 valid_loss:17.614133834838867 dis:28.131908416748047
epoch:300 train_loss:0.20075983608657186 valid_loss:13.355320930480957 dis:26.0395565032959
epoch:400 train_loss:0.15427493289464808 valid_loss:9.328829765319824 dis:11.014775276184082
epoch:500 train_loss:0.12554573346979817 valid_loss:6.548835754394531 dis:4.633477210998535
epoch:600 train_loss:0.10924508689989004 valid_loss:5.600735187530518 dis:4.760879039764404
epoch:700 train_loss:0.09717798900216292 valid_loss:7.530481338500977 dis:7.643107891082764
epoch:800 train_loss:0.09497746931356854 valid_loss:9.494599342346191 dis:0.9279699921607971
epoch:900 train_loss:0.09402309318609393 valid_loss:10.45628547668457 dis:0.4504328668117523
epoch:1000 train_loss:0.0932425983661218 valid_loss:10.9373140335083 dis:0.4341217875480652
epoch:1100 train_loss:0.09259010571406247 valid_loss:11.170998573303223 dis:0.5050162076950073
epoch:1200 train_loss:0.09207281782539352 valid_loss:11.266743659973145 dis:0.5361633896827698
best_valid_loss:5.600735187530518 average_time:8.799021060650166
