epoch:0 train_loss:0.4274987394749311 valid_loss:18.09596824645996 dis:22.12096405029297
epoch:100 train_loss:0.28249641901464145 valid_loss:15.652107238769531 dis:3.2657856941223145
epoch:200 train_loss:0.2565216346004698 valid_loss:14.090843200683594 dis:7.694454669952393
epoch:300 train_loss:0.22966771008100395 valid_loss:13.680116653442383 dis:13.556109428405762
epoch:400 train_loss:0.17853379981344972 valid_loss:14.1776123046875 dis:17.0673770904541
epoch:500 train_loss:0.14124504458334933 valid_loss:12.223487854003906 dis:7.964226722717285
epoch:600 train_loss:0.11929733882081925 valid_loss:9.220113754272461 dis:5.026099681854248
epoch:700 train_loss:0.10830094274675661 valid_loss:6.944198131561279 dis:2.8304779529571533
epoch:800 train_loss:0.10300808315219843 valid_loss:5.652919769287109 dis:1.3428398370742798
epoch:900 train_loss:0.10004539986541226 valid_loss:4.957150459289551 dis:0.7285284996032715
epoch:1000 train_loss:0.0982143191935123 valid_loss:4.5639262199401855 dis:0.39121899008750916
epoch:1100 train_loss:0.09696829710168335 valid_loss:4.31079626083374 dis:0.2531873285770416
epoch:1200 train_loss:0.09604843765440987 valid_loss:4.145570755004883 dis:0.17797693610191345
epoch:1300 train_loss:0.09532056465581429 valid_loss:4.022622585296631 dis:0.13574661314487457
epoch:1400 train_loss:0.09470567276275939 valid_loss:3.9355225563049316 dis:0.11439593136310577
epoch:1500 train_loss:0.09415107111135439 valid_loss:3.884746551513672 dis:0.11101043224334717
epoch:1600 train_loss:0.09363718496878685 valid_loss:3.8465230464935303 dis:0.11274676024913788
epoch:1700 train_loss:0.09315251652729602 valid_loss:3.817836284637451 dis:0.11459994316101074
epoch:1800 train_loss:0.09269318372015767 valid_loss:3.7901272773742676 dis:0.11574753373861313
epoch:1900 train_loss:0.09225318496169509 valid_loss:3.7665984630584717 dis:0.11495175957679749
epoch:2000 train_loss:0.0918314138326246 valid_loss:3.737372398376465 dis:0.1126812994480133
epoch:2100 train_loss:0.0914252754528297 valid_loss:3.7017667293548584 dis:0.10925073176622391
epoch:2200 train_loss:0.0910322986523394 valid_loss:3.664498805999756 dis:0.10499300062656403
epoch:2300 train_loss:0.09064910502320739 valid_loss:3.6255412101745605 dis:0.10045073926448822
epoch:2400 train_loss:0.09027278606917602 valid_loss:3.5810678005218506 dis:0.09623463451862335
epoch:2500 train_loss:0.08989884408043514 valid_loss:3.543266773223877 dis:0.09165669977664948
epoch:2600 train_loss:0.08952546234963546 valid_loss:3.5022976398468018 dis:0.08748909085988998
epoch:2700 train_loss:0.08914808273044258 valid_loss:3.4629809856414795 dis:0.08377228677272797
epoch:2800 train_loss:0.08876376369360017 valid_loss:3.424647808074951 dis:0.08026719838380814
epoch:2900 train_loss:0.08837121856300231 valid_loss:3.3919341564178467 dis:0.07691560685634613
epoch:3000 train_loss:0.0879716393824572 valid_loss:3.359938383102417 dis:0.07453019171953201
epoch:3100 train_loss:0.08756702774326922 valid_loss:3.3308298587799072 dis:0.07270198315382004
epoch:3200 train_loss:0.08716237835540527 valid_loss:3.2868618965148926 dis:0.0715092271566391
epoch:3300 train_loss:0.08676254803144123 valid_loss:3.243164539337158 dis:0.07070297747850418
epoch:3400 train_loss:0.08637270132568942 valid_loss:3.192692518234253 dis:0.06991081684827805
epoch:3500 train_loss:0.08599791245678401 valid_loss:3.1342685222625732 dis:0.06927357614040375
epoch:3600 train_loss:0.08564112231300361 valid_loss:3.072124719619751 dis:0.06851351261138916
epoch:3700 train_loss:0.0853026659200445 valid_loss:3.0114612579345703 dis:0.06857331097126007
epoch:3800 train_loss:0.08498077599433305 valid_loss:2.953303813934326 dis:0.06968914717435837
epoch:3900 train_loss:0.08467361217993297 valid_loss:2.9039406776428223 dis:0.07200745493173599
epoch:4000 train_loss:0.08437841593927196 valid_loss:2.860269069671631 dis:0.07497480511665344
epoch:4100 train_loss:0.08409371300426818 valid_loss:2.825056552886963 dis:0.07806029170751572
epoch:4200 train_loss:0.08381863530120358 valid_loss:2.7950379848480225 dis:0.08074763417243958
epoch:4300 train_loss:0.08355385750941952 valid_loss:2.768340587615967 dis:0.08235600590705872
epoch:4400 train_loss:0.08330031916947458 valid_loss:2.7437779903411865 dis:0.08231297880411148
epoch:4500 train_loss:0.08306024802580239 valid_loss:2.7196402549743652 dis:0.08077412098646164
epoch:4600 train_loss:0.08283624589753444 valid_loss:2.6957590579986572 dis:0.07820187509059906
epoch:4700 train_loss:0.08263213189327963 valid_loss:2.671678304672241 dis:0.07820441573858261
epoch:4800 train_loss:0.08244369057674232 valid_loss:2.6505374908447266 dis:0.07003407180309296
epoch:4900 train_loss:0.08227257200218174 valid_loss:2.6288461685180664 dis:0.07213456928730011
epoch:5000 train_loss:0.08211222126471088 valid_loss:2.610757827758789 dis:0.06020168960094452
epoch:5100 train_loss:0.08196658753459632 valid_loss:2.590691566467285 dis:0.0681033730506897
epoch:5200 train_loss:0.08182719372854391 valid_loss:2.5744826793670654 dis:0.05221766605973244
epoch:5300 train_loss:0.08169885684997233 valid_loss:2.5587527751922607 dis:0.06543855369091034
epoch:5400 train_loss:0.08157229324535814 valid_loss:2.542799472808838 dis:0.04899279400706291
epoch:5500 train_loss:0.08145146746900012 valid_loss:2.5266737937927246 dis:0.061564505100250244
epoch:5600 train_loss:0.0813268149377586 valid_loss:2.51045298576355 dis:0.045631542801856995
epoch:5700 train_loss:0.0812125965827842 valid_loss:2.4973959922790527 dis:0.10943396389484406
epoch:5800 train_loss:0.0810870284168746 valid_loss:2.4808216094970703 dis:0.04159683734178543
epoch:5900 train_loss:0.08096736202426937 valid_loss:2.4693615436553955 dis:0.07182227075099945
epoch:6000 train_loss:0.08084328210250706 valid_loss:2.45491099357605 dis:0.04198082908987999
epoch:6100 train_loss:0.0807260174931778 valid_loss:2.4538893699645996 dis:0.19236409664154053
epoch:6200 train_loss:0.08060150249031942 valid_loss:2.4441442489624023 dis:0.03507721424102783
epoch:6300 train_loss:0.08047539454405941 valid_loss:2.4376449584960938 dis:0.04292137548327446
epoch:6400 train_loss:0.08035246446591918 valid_loss:2.4334986209869385 dis:0.06318113207817078
epoch:6500 train_loss:0.08022829257452938 valid_loss:2.4254770278930664 dis:0.06324077397584915
