epoch:0 train_loss:0.42033098385807405 valid_loss:5.289310455322266 dis:21.842947006225586
epoch:1000 train_loss:0.08461432622122775 valid_loss:2.215808153152466 dis:412.28289794921875
epoch:2000 train_loss:0.07723934816887147 valid_loss:2.419571876525879 dis:91.03965759277344
epoch:3000 train_loss:0.07207026042264385 valid_loss:1.7887393236160278 dis:42.874664306640625
epoch:4000 train_loss:0.06918454432118493 valid_loss:2.0336837768554688 dis:31.016712188720703
epoch:5000 train_loss:0.06893147445864913 valid_loss:1.481992244720459 dis:11.60457992553711
epoch:6000 train_loss:0.06870816689284213 valid_loss:1.0820305347442627 dis:4.360180377960205
epoch:7000 train_loss:0.06848330163734659 valid_loss:0.8732227683067322 dis:5.2999348640441895
epoch:8000 train_loss:0.06828205299669086 valid_loss:0.7931458950042725 dis:4.78297233581543
epoch:9000 train_loss:0.06821937530211776 valid_loss:0.732003927230835 dis:3.8000705242156982
epoch:10000 train_loss:0.068039116663511 valid_loss:0.6742989420890808 dis:2.549548625946045
epoch:11000 train_loss:0.06798401707704277 valid_loss:0.6089236736297607 dis:3.1168172359466553
epoch:12000 train_loss:0.06798795204115769 valid_loss:0.6623238325119019 dis:1.917478322982788
epoch:13000 train_loss:0.06796899088455134 valid_loss:0.683814287185669 dis:1.806536078453064
epoch:14000 train_loss:0.06788795591052726 valid_loss:0.6921910643577576 dis:1.7555186748504639
epoch:15000 train_loss:0.06786775237715958 valid_loss:0.6994871497154236 dis:2.2029595375061035
epoch:16000 train_loss:0.06796258481883218 valid_loss:0.6998377442359924 dis:1.6167826652526855
epoch:17000 train_loss:0.06782182785343299 valid_loss:0.6828122735023499 dis:1.7210654020309448
