Epoch:0,Train_loss:0.6992047528425852,Train_acc:0.534375,Dis:0.9841208457946777
Epoch:1,Train_loss:0.6484564940134684,Train_acc:0.564375,Dis:0.7089693546295166
Epoch:2,Train_loss:0.607574130098025,Train_acc:0.57125,Dis:0.5550472140312195
Epoch:3,Train_loss:0.571910152832667,Train_acc:0.646875,Dis:0.550118088722229
Epoch:4,Train_loss:0.5201815217733383,Train_acc:0.6625,Dis:0.621146023273468
Epoch:5,Train_loss:0.46271851162115735,Train_acc:0.819375,Dis:0.7021737694740295
Epoch:6,Train_loss:0.4065008759498596,Train_acc:0.833125,Dis:0.7419747114181519
Epoch:7,Train_loss:0.34179969628651935,Train_acc:0.888125,Dis:0.7863721251487732
Epoch:8,Train_loss:0.2943750470876694,Train_acc:0.896875,Dis:0.7598451972007751
Epoch:9,Train_loss:0.2427810033162435,Train_acc:0.901875,Dis:0.6828809976577759
Epoch:10,Train_loss:0.21107464532057443,Train_acc:0.90625,Dis:0.592669665813446
Epoch:11,Train_loss:0.18032380814353624,Train_acc:0.938125,Dis:0.4818389117717743
Epoch:12,Train_loss:0.16332495088378587,Train_acc:0.940625,Dis:0.4103511571884155
Epoch:13,Train_loss:0.15042825291554132,Train_acc:0.951875,Dis:0.38153064250946045
Epoch:14,Train_loss:0.13909758254885674,Train_acc:0.960625,Dis:0.3118414282798767
Epoch:15,Train_loss:0.12167702242732048,Train_acc:0.961875,Dis:0.29258352518081665
Epoch:16,Train_loss:0.11899770672122638,Train_acc:0.969375,Dis:0.27707576751708984
Epoch:17,Train_loss:0.10430989662806193,Train_acc:0.965625,Dis:0.22803185880184174
Epoch:18,Train_loss:0.10270292436083157,Train_acc:0.973125,Dis:0.18642264604568481
Epoch:19,Train_loss:0.09665397182106972,Train_acc:0.973125,Dis:0.14935068786144257
Epoch:20,Train_loss:0.09600471891462803,Train_acc:0.98125,Dis:0.1378221958875656
Epoch:21,Train_loss:0.08392089853684108,Train_acc:0.983125,Dis:0.13039712607860565
Epoch:22,Train_loss:0.07827192110319932,Train_acc:0.98625,Dis:0.13575150072574615
Epoch:23,Train_loss:0.0722432155162096,Train_acc:0.98875,Dis:0.11304435133934021
Epoch:24,Train_loss:0.06686728323499362,Train_acc:0.98625,Dis:0.09792627394199371
Epoch:25,Train_loss:0.07016315311193466,Train_acc:0.990625,Dis:0.09056524187326431
Epoch:26,Train_loss:0.06313759771486123,Train_acc:0.990625,Dis:0.09372367709875107
Epoch:27,Train_loss:0.06256089111169179,Train_acc:0.990625,Dis:0.08195717632770538
Epoch:28,Train_loss:0.06187170557677746,Train_acc:0.990625,Dis:0.10437913984060287
Epoch:29,Train_loss:0.0553736990938584,Train_acc:0.991875,Dis:0.09747905284166336
Epoch:30,Train_loss:0.050724175137778126,Train_acc:0.990625,Dis:0.08557602763175964
Epoch:31,Train_loss:0.051280160124103226,Train_acc:0.990625,Dis:0.07811438292264938
Epoch:32,Train_loss:0.04989174505074819,Train_acc:0.99125,Dis:0.05926624312996864
Epoch:33,Train_loss:0.04590450692921877,Train_acc:0.991875,Dis:0.051876623183488846
Epoch:34,Train_loss:0.04630144964903593,Train_acc:0.99375,Dis:0.04144323617219925
Epoch:35,Train_loss:0.043425808660686016,Train_acc:0.994375,Dis:0.03694282844662666
Epoch:36,Train_loss:0.0413337629288435,Train_acc:0.996875,Dis:0.04130011051893234
Epoch:37,Train_loss:0.04002085359146198,Train_acc:0.995,Dis:0.03813079744577408
Epoch:38,Train_loss:0.04083725189169248,Train_acc:0.991875,Dis:0.03673332557082176
Epoch:39,Train_loss:0.0402467322225372,Train_acc:0.995,Dis:0.04497705027461052
Epoch:40,Train_loss:0.03902823446939389,Train_acc:0.994375,Dis:0.03713950142264366
Epoch:41,Train_loss:0.03514115698635578,Train_acc:0.995,Dis:0.03743700310587883
Epoch:42,Train_loss:0.03552741681536039,Train_acc:0.994375,Dis:0.02952428162097931
best_acc:0.996875 average_time:1.8819654209669245test_loss:0.0334265084626774, test_acc:0.995
