epoch:0 train_loss:0.6227291337341719 valid_loss:6.209000110626221 dis:0.16481128334999084
epoch:1000 train_loss:0.10868268933434215 valid_loss:1.4483269453048706 dis:254.1692657470703
epoch:2000 train_loss:0.08895306053809252 valid_loss:1.0168851613998413 dis:66.88410949707031
epoch:3000 train_loss:0.08601122912037099 valid_loss:0.8513094186782837 dis:16.122310638427734
epoch:4000 train_loss:0.08385677680352409 valid_loss:0.8328676819801331 dis:4.909572601318359
epoch:5000 train_loss:0.08192878806805516 valid_loss:0.7562554478645325 dis:4.4027862548828125
epoch:6000 train_loss:0.08029197713137068 valid_loss:0.7430608868598938 dis:4.381004810333252
epoch:7000 train_loss:0.07815103097212422 valid_loss:0.6576195955276489 dis:4.663669109344482
epoch:8000 train_loss:0.07619190258440428 valid_loss:0.6063603758811951 dis:7.2290215492248535
epoch:9000 train_loss:0.07410329383854511 valid_loss:0.5337737798690796 dis:10.136520385742188
epoch:10000 train_loss:0.07319023833132186 valid_loss:0.40118107199668884 dis:6.496750354766846
epoch:11000 train_loss:0.07222580456993644 valid_loss:0.37159299850463867 dis:3.8230435848236084
epoch:12000 train_loss:0.07660260439547882 valid_loss:0.6184080839157104 dis:2.5308585166931152
epoch:13000 train_loss:0.07143783722111231 valid_loss:0.3239360749721527 dis:1.9945100545883179
epoch:14000 train_loss:0.07194047995364168 valid_loss:0.3471813201904297 dis:1.8772649765014648
epoch:15000 train_loss:0.07114665622582039 valid_loss:0.31508779525756836 dis:2.079353094100952
epoch:16000 train_loss:0.07157559814793615 valid_loss:0.3244589865207672 dis:2.2466371059417725
epoch:17000 train_loss:0.07159746427820898 valid_loss:0.329519659280777 dis:2.236725330352783
epoch:18000 train_loss:0.07083086492758095 valid_loss:0.3222188949584961 dis:2.1216421127319336
epoch:19000 train_loss:0.07158123200661232 valid_loss:0.40553221106529236 dis:2.2019169330596924
epoch:20000 train_loss:0.07057457996123316 valid_loss:0.30691447854042053 dis:2.6311423778533936
epoch:21000 train_loss:0.07045503580154874 valid_loss:0.2917307913303375 dis:3.4296014308929443
epoch:22000 train_loss:0.07028250584343262 valid_loss:0.28618741035461426 dis:4.809183120727539
epoch:23000 train_loss:0.07008804815582137 valid_loss:0.26899394392967224 dis:5.487557411193848
epoch:24000 train_loss:0.0699927157631087 valid_loss:0.2603173851966858 dis:4.689650535583496
epoch:25000 train_loss:0.07141379326975257 valid_loss:0.3454885184764862 dis:3.3214941024780273
epoch:26000 train_loss:0.06978041268408806 valid_loss:0.2547035813331604 dis:2.317131757736206
epoch:27000 train_loss:0.06959954708841105 valid_loss:0.24528704583644867 dis:1.789886713027954
epoch:28000 train_loss:0.06953025171549092 valid_loss:0.24586129188537598 dis:1.7459570169448853
epoch:29000 train_loss:0.0694846251427257 valid_loss:0.24533048272132874 dis:1.6499229669570923
epoch:30000 train_loss:0.06947179365869294 valid_loss:0.24767452478408813 dis:1.6788668632507324
epoch:31000 train_loss:0.0694648424215166 valid_loss:0.25141608715057373 dis:1.7575647830963135
epoch:32000 train_loss:0.06944322344911909 valid_loss:0.24568037688732147 dis:1.8878511190414429
epoch:33000 train_loss:0.06933504426407675 valid_loss:0.24663206934928894 dis:2.0275707244873047
