Epoch:0,Train_loss:0.7060997982819875,Train_acc:0.58375,Dis:1.1429482698440552
Epoch:1,Train_loss:0.6563560664653778,Train_acc:0.5825,Dis:0.6722976565361023
Epoch:2,Train_loss:0.6163503925005595,Train_acc:0.57375,Dis:0.5137538909912109
Epoch:3,Train_loss:0.5796826034784317,Train_acc:0.5825,Dis:0.5311474204063416
Epoch:4,Train_loss:0.5323104610045751,Train_acc:0.6725,Dis:0.5928332805633545
Epoch:5,Train_loss:0.47119242946306866,Train_acc:0.73625,Dis:0.6872648596763611
Epoch:6,Train_loss:0.40644581615924835,Train_acc:0.803125,Dis:0.7689255475997925
Epoch:7,Train_loss:0.34779251118501026,Train_acc:0.84375,Dis:0.8120530843734741
Epoch:8,Train_loss:0.29607739051183063,Train_acc:0.870625,Dis:0.7942718267440796
Epoch:9,Train_loss:0.2491990402340889,Train_acc:0.915,Dis:0.7110077142715454
Epoch:10,Train_loss:0.21103180448214212,Train_acc:0.9325,Dis:0.6173709034919739
Epoch:11,Train_loss:0.18305780986944833,Train_acc:0.92625,Dis:0.49261966347694397
Epoch:12,Train_loss:0.16728709017237028,Train_acc:0.93875,Dis:0.394439160823822
Epoch:13,Train_loss:0.1522563857336839,Train_acc:0.950625,Dis:0.32853561639785767
Epoch:14,Train_loss:0.13125874226291975,Train_acc:0.956875,Dis:0.2809290885925293
Epoch:15,Train_loss:0.13134575635194778,Train_acc:0.96375,Dis:0.2527464032173157
Epoch:16,Train_loss:0.11281137789289157,Train_acc:0.968125,Dis:0.22313883900642395
Epoch:17,Train_loss:0.10610648368795712,Train_acc:0.971875,Dis:0.20300711691379547
Epoch:18,Train_loss:0.09670038148760796,Train_acc:0.973125,Dis:0.20244388282299042
Epoch:19,Train_loss:0.09199113895495732,Train_acc:0.97875,Dis:0.2021382600069046
Epoch:20,Train_loss:0.08997796475887299,Train_acc:0.975625,Dis:0.18667002022266388
Epoch:21,Train_loss:0.08233064102629821,Train_acc:0.978125,Dis:0.15650762617588043
Epoch:22,Train_loss:0.07457357831299305,Train_acc:0.98375,Dis:0.1436164230108261
Epoch:23,Train_loss:0.0744004858036836,Train_acc:0.985,Dis:0.1296522617340088
Epoch:24,Train_loss:0.06990263362725575,Train_acc:0.985,Dis:0.12321273982524872
Epoch:25,Train_loss:0.06907656850914161,Train_acc:0.981875,Dis:0.10195396840572357
Epoch:26,Train_loss:0.06299760316809018,Train_acc:0.979375,Dis:0.09419773519039154
Epoch:27,Train_loss:0.05900378276904424,Train_acc:0.985,Dis:0.08497370034456253
Epoch:28,Train_loss:0.054932648316025734,Train_acc:0.991875,Dis:0.07535872608423233
Epoch:29,Train_loss:0.05596253337959448,Train_acc:0.993125,Dis:0.10102177411317825
Epoch:30,Train_loss:0.053712060675024986,Train_acc:0.99625,Dis:0.09936224669218063
Epoch:31,Train_loss:0.05154011988391479,Train_acc:0.991875,Dis:0.06583859771490097
Epoch:32,Train_loss:0.04894582989315192,Train_acc:0.9925,Dis:0.056290190666913986
Epoch:33,Train_loss:0.047167448326945305,Train_acc:0.994375,Dis:0.07648716866970062
Epoch:34,Train_loss:0.04259816464036703,Train_acc:0.995625,Dis:0.05701424926519394
Epoch:35,Train_loss:0.04040027596056461,Train_acc:0.993125,Dis:0.04910967871546745
Epoch:36,Train_loss:0.04309955767045418,Train_acc:0.994375,Dis:0.040709126740694046
best_acc:0.99625 average_time:8.579826657836502test_loss:0.042588072208066784, test_acc:0.995
