epoch:0 train_loss:0.4274987394749311 valid_loss:19.118093490600586 dis:34.99202346801758
epoch:100 train_loss:0.297570693368169 valid_loss:17.489633560180664 dis:2.1447675228118896
epoch:200 train_loss:0.2587632508271192 valid_loss:15.139609336853027 dis:12.75756549835205
epoch:300 train_loss:0.2109486788860453 valid_loss:12.506230354309082 dis:18.885229110717773
epoch:400 train_loss:0.1695388774650207 valid_loss:13.221582412719727 dis:11.43368911743164
epoch:500 train_loss:0.14251237163044395 valid_loss:13.059372901916504 dis:6.464219570159912
epoch:600 train_loss:0.1291555897580228 valid_loss:12.402149200439453 dis:1.7832664251327515
epoch:700 train_loss:0.12161912696881308 valid_loss:11.496602058410645 dis:1.224459171295166
epoch:800 train_loss:0.1160861996766407 valid_loss:10.82516098022461 dis:1.5813237428665161
epoch:900 train_loss:0.11121205921900394 valid_loss:8.450286865234375 dis:0.9290412068367004
epoch:1000 train_loss:0.10640462920345092 valid_loss:6.774351596832275 dis:0.5824464559555054
epoch:1100 train_loss:0.10239893102697929 valid_loss:5.37390661239624 dis:0.4037705957889557
epoch:1200 train_loss:0.09873129866012578 valid_loss:4.449236869812012 dis:0.5746210813522339
epoch:1300 train_loss:0.09555011799128577 valid_loss:3.896265983581543 dis:0.6554329991340637
epoch:1400 train_loss:0.09289685623052493 valid_loss:3.6311850547790527 dis:0.5944830775260925
epoch:1500 train_loss:0.09074648553404818 valid_loss:3.543621778488159 dis:0.48476213216781616
epoch:1600 train_loss:0.08905769197134679 valid_loss:3.5535151958465576 dis:0.3787033259868622
epoch:1700 train_loss:0.0877574786332092 valid_loss:3.593827724456787 dis:0.2863486111164093
epoch:1800 train_loss:0.08676882460111557 valid_loss:3.635301113128662 dis:0.2175525575876236
epoch:1900 train_loss:0.08600024078821972 valid_loss:3.563232183456421 dis:0.1732165366411209
epoch:2000 train_loss:0.08529381380564467 valid_loss:3.4926254749298096 dis:0.166797935962677
epoch:2100 train_loss:0.08465634753540915 valid_loss:3.407653570175171 dis:0.17171572148799896
epoch:2200 train_loss:0.0840691426995776 valid_loss:3.2999613285064697 dis:0.16177967190742493
epoch:2300 train_loss:0.08352811656594925 valid_loss:3.175678014755249 dis:0.1484581083059311
epoch:2400 train_loss:0.08303034700926328 valid_loss:3.0438473224639893 dis:0.13642452657222748
epoch:2500 train_loss:0.08257265186939071 valid_loss:2.907789945602417 dis:0.1274329274892807
epoch:2600 train_loss:0.08214822727871207 valid_loss:2.782526969909668 dis:0.12196468561887741
epoch:2700 train_loss:0.0817494547691595 valid_loss:2.675480842590332 dis:0.12009026110172272
epoch:2800 train_loss:0.08136745798044945 valid_loss:2.594254732131958 dis:0.12125904858112335
epoch:2900 train_loss:0.08099324988787657 valid_loss:2.545435905456543 dis:0.12500792741775513
epoch:3000 train_loss:0.08061846293980081 valid_loss:2.5364530086517334 dis:0.1304134577512741
epoch:3100 train_loss:0.08023702742436986 valid_loss:2.5687057971954346 dis:0.13475389778614044
epoch:3200 train_loss:0.0798470051964103 valid_loss:2.6454033851623535 dis:0.13609404861927032
epoch:3300 train_loss:0.07945005743843593 valid_loss:2.7582428455352783 dis:0.134409099817276
epoch:3400 train_loss:0.07904653931365678 valid_loss:2.8937644958496094 dis:0.14395438134670258
epoch:3500 train_loss:0.07861922223880075 valid_loss:2.940208911895752 dis:0.2143501341342926
epoch:3600 train_loss:0.07791933466566586 valid_loss:2.939274549484253 dis:0.8070921897888184
best_valid_loss:2.5364530086517334 average_time:7.208580725901836
