epoch:0 loss:0.49276731035956944 dis:0.6897068023681641
epoch:10 loss:0.3707493639649217 dis:0.022955702617764473
epoch:20 loss:0.32436325116278386 dis:0.01843489147722721
epoch:30 loss:0.3050451991132851 dis:0.011467058211565018
epoch:40 loss:0.30052688296138874 dis:0.0051797800697386265
epoch:50 loss:0.3001715686072353 dis:0.002286832081153989
epoch:60 loss:0.30012907192100585 dis:0.0017896390054374933
epoch:70 loss:0.2999624775229642 dis:0.0019448244711384177
epoch:80 loss:0.29979724439893557 dis:0.00204485678113997
epoch:90 loss:0.29966347316653463 dis:0.0020176179241389036
epoch:100 loss:0.2995404374291121 dis:0.0019393593538552523
epoch:110 loss:0.2994128596113096 dis:0.0018679775530472398
epoch:120 loss:0.2992915132261875 dis:0.0018177867168560624
epoch:130 loss:0.299161861778678 dis:0.001782325329259038
epoch:140 loss:0.29903879406526274 dis:0.0017584351589903235
epoch:150 loss:0.29891532672794097 dis:0.0017420671647414565
epoch:160 loss:0.29878175911821603 dis:0.0017277945298701525
epoch:170 loss:0.29865388215848593 dis:0.0017179662827402353
epoch:180 loss:0.29852303033272704 dis:0.001712633646093309
epoch:190 loss:0.2983863781787955 dis:0.001711108023300767
epoch:200 loss:0.2982573449780426 dis:0.0017154127126559615
epoch:210 loss:0.29811297342446047 dis:0.00172413547988981
epoch:220 loss:0.29797612071610263 dis:0.0018305135890841484
epoch:230 loss:0.29782243179700413 dis:0.0017326148226857185
epoch:240 loss:0.2976536202502289 dis:0.0017652473179623485
epoch:250 loss:0.2974918882882957 dis:0.001808328554034233
epoch:260 loss:0.2973152460096152 dis:0.0018576782895252109
epoch:270 loss:0.2971384987210176 dis:0.0019149681320413947
epoch:280 loss:0.29694585205661794 dis:0.001978314248844981
epoch:290 loss:0.29675419758910676 dis:0.0020480421371757984
epoch:300 loss:0.2965514402467752 dis:0.0022014270070940256
epoch:310 loss:0.2963382109362005 dis:0.0022194073535501957
epoch:320 loss:0.29611246155569454 dis:0.0022913385182619095
epoch:330 loss:0.2958808868541348 dis:0.002466449746862054
epoch:340 loss:0.2956139232181361 dis:0.002495580120012164
epoch:350 loss:0.29534467491591954 dis:0.0025794878602027893
epoch:360 loss:0.2950669746423247 dis:0.002664788393303752
epoch:370 loss:0.2947708020841247 dis:0.0027584040071815252
epoch:380 loss:0.29445992220803535 dis:0.002858815249055624
epoch:390 loss:0.29413607417787185 dis:0.0029639515560120344
epoch:400 loss:0.29378929940574133 dis:0.0030739980284124613
epoch:410 loss:0.29342096395892986 dis:0.003183952998369932
epoch:420 loss:0.2930391227125936 dis:0.0032990830950438976
epoch:430 loss:0.29262895588195037 dis:0.003414957318454981
epoch:440 loss:0.2921970631059528 dis:0.003655908862128854
epoch:450 loss:0.291719289982464 dis:0.003710015444085002
epoch:460 loss:0.29121912811038614 dis:0.0038319865707308054
epoch:470 loss:0.2906972436430423 dis:0.003960771951824427
epoch:480 loss:0.2901444677077584 dis:0.004240603186190128
epoch:490 loss:0.28953140477002903 dis:0.004264978691935539
epoch:500 loss:0.28890835028339346 dis:0.004581608343869448
epoch:510 loss:0.28825264972352266 dis:0.004772644490003586
epoch:520 loss:0.2875340752518273 dis:0.004831352271139622
epoch:530 loss:0.28680511493946637 dis:0.0049912165850400925
epoch:540 loss:0.2860327926647488 dis:0.005151770543307066
epoch:550 loss:0.28522552014672176 dis:0.005572632886469364
epoch:560 loss:0.28435877764196976 dis:0.005695881322026253
epoch:570 loss:0.28342226691986283 dis:0.005799776874482632
epoch:580 loss:0.2824512761853142 dis:0.006008640863001347
epoch:590 loss:0.28143123244698715 dis:0.006225523538887501
epoch:600 loss:0.2803602582590944 dis:0.006557304412126541
epoch:610 loss:0.2792164213172026 dis:0.006839159410446882
epoch:620 loss:0.2780026413153994 dis:0.006999996490776539
epoch:630 loss:0.2767406407146035 dis:0.007632788270711899
epoch:640 loss:0.275379870590274 dis:0.0076175713911652565
epoch:650 loss:0.273995647258364 dis:0.00798636581748724
epoch:660 loss:0.27252286801933334 dis:0.00816598441451788
epoch:670 loss:0.2709829653747422 dis:0.008337143808603287
epoch:680 loss:0.2693901936833115 dis:0.008626868017017841
epoch:690 loss:0.267731810380214 dis:0.00889337807893753
epoch:700 loss:0.2660009304474928 dis:0.009308393113315105
epoch:710 loss:0.2641668971077749 dis:0.00941091775894165
epoch:720 loss:0.26227503344057734 dis:0.009805564768612385
epoch:730 loss:0.2603114567262917 dis:0.009817550890147686
epoch:740 loss:0.2582913200506141 dis:0.010254893451929092
epoch:750 loss:0.2561997486479924 dis:0.010221077129244804
epoch:760 loss:0.25406559565723863 dis:0.010340651497244835
epoch:770 loss:0.25190074878965985 dis:0.010572711937129498
epoch:780 loss:0.24964870417650353 dis:0.010691282339394093
epoch:790 loss:0.24737155025499752 dis:0.010705636814236641
epoch:800 loss:0.24503852524311576 dis:0.010786011815071106
epoch:810 loss:0.2426880463047053 dis:0.010862544178962708
epoch:820 loss:0.24032652258420925 dis:0.010910864919424057
epoch:830 loss:0.2379226565915304 dis:0.011061952449381351
epoch:840 loss:0.23549576453127807 dis:0.010954764671623707
epoch:850 loss:0.2330890903863797 dis:0.011123798787593842
epoch:860 loss:0.2306355180125198 dis:0.011004737578332424
epoch:870 loss:0.22819173307104992 dis:0.010941257700324059
epoch:880 loss:0.22576204667049815 dis:0.010835754685103893
epoch:890 loss:0.22336248859318175 dis:0.010752419009804726
epoch:900 loss:0.22098864594643647 dis:0.010628440417349339
epoch:910 loss:0.2186305367012435 dis:0.010469985194504261
epoch:920 loss:0.21631543943022147 dis:0.010351309552788734
epoch:930 loss:0.21404767367955174 dis:0.01028451882302761
